,Brasil,Acre,Amapá,Amazonas,Pará,Rondônia,Roraima,Tocantins,Norte,Alagoas,Bahia,Ceará,Maranhão,Paraíba,Pernambuco,Piauí,Rio Grande do Norte,Sergipe,Nordeste,Espirito Santo,Minas Gerais,Rio de Janeiro,São Paulo,Sudeste,Paraná,Rio Grande do Sul,Santa Catarina,Sul,Distrito Federal,Goiás,Mato Grosso,Mato Grosso do Sul,Centro-Oeste
,BR,AC,AP,AM,PA,RO,RR,TO,(N),AL,BA,CE,MA,PB,PE,PI,RN,SE,(NE),ES,MG,RJ,SP,(SE),PR,RS,SC,(S),DF,GO,MT,MS,(CO)
26/02/2020,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
27/02/2020,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
28/02/2020,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
29/02/2020,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0
01/03/2020,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0
02/03/2020,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0
03/03/2020,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0
04/03/2020,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0
05/03/2020,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,7,0,0,0,0,0,0,0,0,0
06/03/2020,13,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,10,12,0,0,0,0,0,0,0,0,0
07/03/2020,19,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,1,0,2,13,16,0,0,0,0,1,0,0,0,1
08/03/2020,25,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,3,1,1,3,16,21,0,0,0,0,1,0,0,0,1
09/03/2020,30,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,3,1,1,8,16,26,0,0,0,0,1,0,0,0,1
10/03/2020,34,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,3,1,1,8,19,29,0,1,0,1,1,0,0,0,1
11/03/2020,52,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,3,1,1,13,30,45,0,2,0,2,2,0,0,0,2
12/03/2020,77,0,0,0,0,0,0,0,0,1,2,0,0,0,2,0,0,0,5,1,1,16,42,60,6,4,0,10,2,0,0,0,2
13/03/2020,98,0,0,0,0,0,0,0,0,1,2,0,0,0,2,0,1,0,6,1,2,16,56,75,6,4,2,12,2,3,0,0,5
14/03/2020,121,0,0,0,0,0,0,0,0,1,2,0,0,0,2,0,1,0,6,1,2,22,65,90,6,6,4,16,6,3,0,0,9
15/03/2020,200,0,0,1,0,0,0,0,1,1,2,0,0,0,2,0,1,1,7,1,2,24,136,163,6,6,6,18,8,3,0,0,11
16/03/2020,234,0,0,1,0,0,0,0,1,1,2,0,0,0,2,0,1,1,7,1,5,31,152,189,6,6,7,19,13,3,0,2,18
17/03/2020,291,0,0,1,0,0,0,0,1,1,3,5,0,0,16,0,1,4,30,1,7,33,164,205,6,10,7,23,22,6,0,4,32
18/03/2020,428,0,0,1,0,0,0,0,1,1,3,9,0,0,16,0,1,5,35,9,15,45,240,309,13,19,10,42,26,8,0,7,41
19/03/2020,621,3,0,3,1,0,0,1,8,4,30,20,0,1,28,0,1,6,90,11,29,65,286,391,23,28,20,71,42,12,0,7,61
20/03/2020,904,7,1,3,2,1,0,1,15,5,33,55,0,1,30,3,1,6,134,13,35,109,396,553,32,37,21,90,87,15,1,9,112
21/03/2020,1128,9,1,11,2,1,0,2,26,7,41,68,1,1,30,4,6,10,168,26,38,119,459,642,43,60,51,154,100,20,2,16,138
22/03/2020,1546,11,1,26,4,3,2,2,49,7,49,112,2,1,37,4,9,10,231,26,83,186,631,926,50,72,57,179,117,21,2,21,161
23/03/2020,1891,11,1,32,5,3,2,5,59,7,63,163,2,2,42,6,13,10,308,29,128,233,745,1135,56,86,68,210,133,23,2,21,179
24/03/2020,2201,17,1,47,5,3,2,7,82,9,76,182,8,3,42,6,13,15,354,33,130,305,810,1278,65,98,107,270,160,27,7,23,217
25/03/2020,2433,23,1,54,7,5,8,7,105,11,84,200,8,3,46,8,14,16,390,39,133,370,862,1404,81,123,109,313,160,29,8,24,221
26/03/2020,2915,24,2,67,13,5,8,7,126,11,104,235,10,5,48,9,19,16,457,39,153,421,1052,1665,102,168,122,392,200,39,11,25,275
27/03/2020,3417,25,2,81,13,6,10,8,145,11,115,282,13,9,56,9,28,16,539,47,189,493,1223,1952,119,195,149,463,230,49,11,28,318
28/03/2020,3904,25,4,111,17,6,12,9,184,14,128,314,14,14,68,11,45,16,624,53,205,558,1406,2222,133,197,184,514,260,56,13,31,360
29/03/2020,4256,34,4,140,18,6,16,9,227,17,154,348,16,14,73,14,68,16,720,60,231,600,1451,2342,148,226,194,568,289,58,16,36,399
30/03/2020,4579,42,8,151,21,6,16,10,254,17,176,372,23,15,78,16,77,16,790,72,261,657,1517,2507,155,241,197,593,312,61,18,44,435
31/03/2020,5717,42,10,175,32,8,16,11,294,18,213,390,31,17,87,18,82,19,875,84,275,708,2339,3406,179,274,219,672,332,65,25,48,470
01/04/2020,6836,43,11,200,40,9,22,12,337,18,246,444,54,20,95,18,92,20,1007,96,314,832,2981,4223,224,306,235,765,355,71,27,51,504
02/04/2020,7910,43,11,229,46,10,26,12,377,18,267,550,71,21,106,19,105,23,1180,120,370,992,3506,4988,252,334,247,833,370,73,36,53,532
03/04/2020,9056,46,19,260,50,10,30,12,427,22,282,627,81,29,136,21,176,25,1399,139,397,1074,4048,5658,301,396,281,978,402,88,44,60,594
04/04/2020,10278,46,28,311,80,11,37,14,527,23,332,730,88,32,176,22,212,27,1642,153,430,1246,4466,6295,395,410,334,1139,454,103,56,62,675
05/04/2020,11130,48,29,417,86,12,42,17,651,28,401,823,96,34,201,23,242,32,1880,166,498,1394,4620,6678,438,418,357,1213,468,115,60,65,708
06/04/2020,12056,50,34,532,102,14,42,17,791,31,431,1013,133,35,223,23,246,32,2167,194,525,1461,4866,7046,458,481,379,1318,473,119,76,66,734
07/04/2020,13717,50,48,636,138,18,42,19,951,32,456,1051,172,36,352,28,254,36,2417,209,559,1688,5682,8138,503,508,417,1428,492,133,78,80,783
08/04/2020,15927,54,107,804,167,18,49,23,1222,37,497,1291,230,41,401,31,261,36,2825,227,614,1938,6708,9487,539,555,457,1551,509,158,90,85,842
09/04/2020,17857,62,128,899,168,28,52,23,1360,37,559,1425,273,55,555,38,261,39,3242,273,655,2216,7480,10624,609,618,501,1728,527,179,108,89,903
10/04/2020,19638,70,166,981,170,32,63,23,1505,45,604,1478,293,79,684,40,263,42,3528,300,698,2464,8216,11678,643,636,693,1972,555,191,112,97,955
11/04/2020,20727,72,193,1050,217,33,75,23,1663,48,635,1582,344,85,816,41,289,42,3882,349,750,2607,8419,12125,676,640,732,2048,579,209,121,100,1009
12/04/2020,22169,77,230,1206,246,35,79,25,1898,48,673,1676,398,101,960,44,302,44,4246,383,806,2855,8755,12799,738,653,768,2159,614,229,123,101,1067
13/04/2020,23430,90,242,1275,270,42,83,26,2028,50,723,1800,445,111,1154,50,339,44,4716,430,815,3231,8895,13371,756,664,777,2197,638,233,134,113,1118
14/04/2020,25262,99,307,1484,323,64,113,26,2416,72,759,2005,478,136,1284,58,376,45,5213,463,884,3410,9371,14128,791,700,826,2317,651,284,138,115,1188
15/04/2020,28320,101,334,1554,384,69,114,26,2582,82,807,2157,630,151,1484,75,399,46,5831,557,903,3743,11043,16246,803,747,853,2403,682,304,151,121,1258
16/04/2020,30425,110,362,1719,438,76,142,29,2876,89,951,2386,695,165,1683,91,400,48,6508,754,958,3944,11568,17224,832,780,884,2496,716,318,156,131,1321
