,Brasil,Acre,Amapá,Amazonas,Pará,Rondônia,Roraima,Tocantins,Norte,Alagoas,Bahia,Ceará,Maranhão,Paraíba,Pernambuco,Piauí,Rio Grande do Norte,Sergipe,Nordeste,Espirito Santo,Minas Gerais,Rio de Janeiro,São Paulo,Sudeste,Paraná,Rio Grande do Sul,Santa Catarina,Sul,Distrito Federal,Goiás,Mato Grosso,Mato Grosso do Sul,Centro-Oeste
,BR,AC,AP,AM,PA,RO,RR,TO,(N),AL,BA,CE,MA,PB,PE,PI,RN,SE,(NE),ES,MG,RJ,SP,(SE),PR,RS,SC,(S),DF,GO,MT,MS,(CO)
26/2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27/2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28/2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29/2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
1/3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
5/3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,0,0,0,0,0,0,0,0,0
6/3,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,4,5,0,0,0,0,0,0,0,0,0
7/3,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,3,4,0,0,0,0,1,0,0,0,1
8/3,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,3,5,0,0,0,0,0,0,0,0,0
9/3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0
10/3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,1,0,1,0,0,0,0,0
11/3,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,16,0,1,0,1,1,0,0,0,1
12/3,25,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,3,12,15,6,2,0,8,0,0,0,0,0
13/3,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,14,15,0,0,2,2,0,3,0,0,3
14/3,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,15,0,2,2,4,4,0,0,0,4
15/3,79,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,2,71,73,0,0,2,2,2,0,0,0,2
16/3,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,16,26,0,0,1,1,5,0,0,2,7
17/3,57,0,0,0,0,0,0,0,0,0,1,5,0,0,14,0,0,3,23,0,2,2,12,16,0,4,0,4,9,3,0,2,14
18/3,137,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,5,8,8,12,76,104,7,9,3,19,4,2,0,3,9
19/3,193,3,0,2,1,0,0,1,7,3,27,11,0,1,12,0,0,1,55,2,14,20,46,82,10,9,10,29,16,4,0,0,20
20/3,283,4,1,0,1,1,0,0,7,1,3,35,0,0,2,3,0,0,44,2,6,44,110,162,9,9,1,19,45,3,1,2,51
21/3,224,2,0,8,0,0,0,1,11,2,8,13,1,0,0,1,5,4,34,13,3,10,63,89,11,23,30,64,13,5,1,7,26
22/3,418,2,0,15,2,2,2,0,23,0,8,44,1,0,7,0,3,0,63,0,45,67,172,284,7,12,6,25,17,1,0,5,23
23/3,345,0,0,6,1,0,0,3,10,0,14,51,0,1,5,2,4,0,77,3,45,47,114,209,6,14,11,31,16,2,0,0,18
24/3,310,6,0,15,0,0,0,2,23,2,13,19,6,1,0,0,0,5,46,4,2,72,65,143,9,12,39,60,27,4,5,2,38
25/3,232,6,0,7,2,2,6,0,23,2,8,18,0,0,4,2,1,1,36,6,3,65,52,126,16,25,2,43,0,2,1,1,4
26/3,482,1,1,13,6,0,0,0,21,0,20,35,2,2,2,1,5,0,67,0,20,51,190,261,21,45,13,79,40,10,3,1,54
27/3,502,1,0,14,0,1,2,1,19,0,11,47,3,4,8,0,9,0,82,8,36,72,171,287,17,27,27,71,30,10,0,3,43
28/3,487,0,2,30,4,0,2,1,39,3,13,32,1,5,12,2,17,0,85,6,16,65,183,270,14,2,35,51,30,7,2,3,42
29/3,352,9,0,29,1,0,4,0,43,3,26,34,2,0,5,3,23,0,96,7,26,42,45,120,15,29,10,54,29,2,3,5,39
